era;generation;difficultyMode;temp;wet;windStrength;eatPredator;eatHerbivore;agentIndex;score;hp;stamina;speed;tempResist;wetResist;fatSave;eatNeed;speedN;staminaN;hpLoseN;eatN;abilitiesBonus;hpPenalty;eatPenalty
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;0;4,500155;100;6,563985;1,929882;-20,17012;37,07644;0,5678605;2,512815;0,3859763;0,3281993;0;0;4,171815;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;1;12,00458;100;15,5369;2,27896;15,50565;23,98359;0,5487421;5,192014;0,455792;0,7768451;0;0;11,76671;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;2;15,63297;100;11,28617;4,011278;92,22884;70,08879;0,449559;3,446524;0,8022556;0,5643085;0;0;15,38092;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;3;20,36937;100;19,98002;2,485256;88,38236;91,24635;0,7317872;2,179018;0,4970512;0,9990008;0;0;19,92757;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;4;5,029194;100;2,022593;3,524661;-7,753857;81,85838;0,2916856;5,862632;0,7049322;0,1011297;0;0,8375188;5,013447;1;5,338996
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;5;4,656508;100;1,916795;3,365446;45,42974;67,65547;0,03666377;5,866264;0,6730891;0,09583978;0;0,8380377;4,654609;1;5,344539
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;6;18,70243;100;11,49852;4,438485;19,31985;38,69022;0,1233482;2,977219;0,887697;0,574926;0;0;18,63881;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;7;5,46524;100;12,5102;0,9662693;45,80366;42,59493;0,5595037;4,421853;0,1932539;0,6255099;0;0;5,142439;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;8;3,337585;100;5,983641;1,092643;91,97445;60,412;0,8391213;3,953166;0,2185285;0,2991821;0;0;2,816292;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;9;20,16997;100;12,2972;4,416743;-12,55819;67,0014;0,2903995;3,583034;0,8833486;0,6148599;0;0;20,0137;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;10;11,20128;100;12,08974;2,916973;8,474495;69,34645;0,7321419;4,794298;0,5833945;0,6044869;0;0;10,75922;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;11;47,40149;100;19,51901;4,758061;80,49197;22,59717;0,3087805;4,642386;0,9516122;0,9759505;0;0;47,23454;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;12;24,10469;100;13,10361;4,675854;55,01814;44,0404;0,08045399;2,857425;0,9351708;0,6551803;0;0;24,06364;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;13;13,21071;100;9,471961;4,04549;65,69682;62,65102;0,5411788;5,280764;0,8090981;0,4735981;0;0;13,00576;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;14;11,09964;100;14,36662;2,301554;27,21013;57,28364;0,8601967;4,211392;0,4603108;0,7183312;0;0;10,56223;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;15;15,42932;100;9,711162;4,318516;29,74757;44,41563;0,9041377;4,875354;0,8637033;0,4855581;0;0;14,85776;1;0
0;0;easyMode;7,162215;44,32138;1,537051;5,676373;5,969762;16;9,994478;100;14,80131;2,01735;-4,593403;34,42982;0,2767816;4,162733;0,40347;0,7400654;0;0;9,846054;1;0
