era;generation;difficultyMode;temp;wet;windStrength;eatPredator;eatHerbivore;agentIndex;score;hp;stamina;speed;tempResist;wetResist;fatSave;eatNeed;speedN;staminaN;hpLoseN;eatN;abilitiesBonus;hpPenalty;eatPenalty
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;0;2,798648;100;9,924132;0,8555799;38,52;70,69236;0,1879482;2,623765;0,171116;0,4962066;0;0;3,798648;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;1;9,721945;100;12,98925;2,683419;-3,33482;77,33639;0,4400567;2,699697;0,5366837;0,6494626;0;0;10,72194;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;2;7,298299;100;12,69354;2,11674;87,33687;56,29383;0,4369827;2,741096;0,423348;0,6346772;0;0;8,298299;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;3;5,676337;100;14,14487;1,210207;63,98903;38,98494;0,3468863;2,978918;0,2420413;0,7072434;0;0;6,676337;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;4;2,116353;100;7,253735;1,028225;-53,11043;51,79032;0,2945694;5,726726;0,2056449;0,3626868;0;0;3,116353;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;5;10,30008;100;5,325123;4,730743;-50,87992;96,48899;0,9833947;3,890123;0,9461486;0,2662562;0;0;11,30008;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;6;14,38427;100;15,908;2,856365;-41,84797;47,69273;0,4568558;2,287387;0,571273;0,7953998;0;0;15,38427;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;7;13,92412;100;8,576115;4,613418;-7,430046;75,35915;0,9501312;4,877522;0,9226836;0,4288057;0;0;14,92412;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;8;22,28617;100;13,76095;4,42941;75,00473;97,33549;0,3695185;4,669807;0,885882;0,6880477;0;0;23,28617;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;9;11,19484;100;8,402807;4,151831;-7,554272;86,83981;0,1376786;5,97727;0,8303661;0,4201404;0;0;12,19484;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;10;38,90102;100;19,34802;4,379;-14,32147;72,7075;0,7387934;5,597239;0,8758;0,9674008;0;0;39,90102;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;11;5,47874;100;7,319673;2,841397;76,38369;31,5183;0,9731245;3,289606;0,5682794;0,3659836;0;0;6,47874;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;12;23,6243;100;14,98529;4,263011;-49,39722;31,78624;0,9715246;3,005883;0,8526023;0,7492647;0;0;24,6243;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;13;4,360221;100;8,976139;1,953478;-31,54671;58,11609;0,9508796;2,493777;0,3906956;0,4488069;0;0;5,360221;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;14;41,87254;100;18,65443;4,731973;8,702404;23,95283;0,2011485;4,249265;0,9463946;0,9327213;0;0;42,87254;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;15;36,3904;100;16,75068;4,865866;78,13143;61,70572;0,5694768;4,556121;0,9731731;0,8375338;0;0;37,3904;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;16;4,623655;100;12,04061;1,307302;67,85651;40,40551;0,9346592;3,069243;0,2614605;0,6020305;0;0;5,623655;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;17;17,40131;100;15,2842;3,460005;47,35764;93,08512;0,953505;5,942903;0,692001;0,7642099;0;0;18,40131;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;18;39,27588;100;17,84446;4,778267;62,65106;38,17386;0,8069319;3,218793;0,9556534;0,8922231;0;0;40,27588;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;19;7,674067;100;8,130345;3,368258;56,23087;89,58019;0,07783103;4,75045;0,6736516;0,4065173;0;0;8,674067;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;20;26,62268;100;13,21523;4,992786;71,84275;59,26413;0,4374411;4,369917;0,9985573;0,6607614;0;0;27,62268;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;21;14,83619;100;10,04324;4,394935;0,6420059;86,01805;0,9147469;4,412496;0,878987;0,5021618;0;0;15,83619;1;0
