Type; Fitness; HP; Stamina; Speed; Temp/TempRes; Wet/WetRes; EatPredator; EatHerbivore; FatSave
easyMode;-;-;-;-;15,51273;41,5028;5,237872;6,859335;-
Best predator;153,5275;97,72405;20,0;5,0;15,3;40,4;4,643275;-;0,3550218
Best herbivore;155,3080;97,50864;20,0;5,0;16,5;40,3;-;3,606682;1,161641
easyMode;-;-;-;-;8,887074;49,38887;4,785911;5,85899;-
Best predator;153,4698;95,97644;20,0;5,0;8,9;54,9;4,224973;-;0,691665
Best herbivore;154,9164;97,76379;20,0;5,0;8,5;48,6;-;2,065329;0,655231
mediumMode;-;-;-;-;-12,71132;63,26705;3,07863;2,634848;-
Best predator;153,5360;97,99043;20,0;5,0;-12,7;63,2;2,095517;-;0,05103643
Best herbivore;154,8127;97,83084;20,0;5,0;-12,2;63,0;-;4,095376;0,9930624
easyMode;-;-;-;-;16,05305;49,21721;4,877991;5,803025;-
Best predator;153,5358;97,9847;20,1;5,0;16,1;49,1;4,177438;-;0,3318688
Best herbivore;155,3305;97,48309;20,0;5,0;17,3;48,2;-;4,646611;1,187491
easyMode;-;-;-;-;12,88826;49,40305;6,008383;4,916741;-
Best predator;153,5362;97,99591;20,0;5,0;12,9;49,4;3,568084;-;0,57802
Best herbivore;154,8290;97,03512;20,0;5,0;11,5;51,9;-;6,113351;1,122213
easyMode;-;-;-;-;18,28225;47,09926;6,401318;5,043753;-
Best predator;153,5360;97,99072;20,0;5,0;18,3;47,1;4,728184;-;0,7091021
Best herbivore;154,9507;90,1077;20,0;5,0;29,1;46,5;-;3,343158;1,058923
easyMode;-;-;-;-;14,42289;52,17798;4,178954;5,783258;-
Best predator;153,5145;97,32353;20,0;5,0;15,3;54,1;2,045162;-;0,4218621
Best herbivore;155,2530;96,55022;20,0;5,0;17,5;49,8;-;2,190053;1,158586
hardMode;-;-;-;-;53,45716;86,1587;2,372913;3,122138;-
Best predator;153,5337;97,9167;20,0;5,0;53,2;86,3;2,171377;-;0
Best herbivore;154,8100;97,67802;20,0;5,0;52,9;85,3;-;5,247305;1
easyMode;-;-;-;-;9,345108;44,29844;4,172003;5,556683;-
Best predator;153,5348;97,96979;20,0;5,0;9,2;44,3;2,727165;-;0,8002266
Best herbivore;155,3251;97,05691;20,0;5,2;8,0;46,7;-;3,128304;1,196868
easyMode;-;-;-;-;12,88772;54,48436;6,457695;5,791845;-
