Type; Fitness; HP; Stamina; Speed; Temp/TempRes; Wet/WetRes; EatPredator; EatHerbivore; FatSave
Best predator;98,9380;97,99629;11,4;2,3;-56,3;85,0;1,250507;-;0,1607473
Best herbivore;98,9381;97,99853;16,2;1,9;-56,3;85,0;-;1,698244;0,6021185
hardMode;-;-;-;-;-56,31363;85;24;30;-
Best predator;98,9380;97,99567;16,8;3,9;-45,8;69,0;2,401475;-;0,4470778
Best herbivore;98,9381;97,99638;15,3;3,6;-45,9;69,0;-;2,8;0,5622231
hardMode;-;-;-;-;-45,85061;69;25;47;-
Best predator;98,9382;97,99954;10,1;3,9;-39,4;45,0;1,595882;-;0,632861
Best herbivore;98,9381;97,99855;19,7;2,9;-39,3;45,0;-;1,9372;0,6670449
hardMode;-;-;-;-;-39,35122;45;32;35;-
Best predator;98,9382;97,99969;11,3;3,8;-28,2;75,0;2,619316;-;0,9001913
Best herbivore;98,9379;97,99234;12,0;3,2;-28,2;75,0;-;1,878289;0,4120299
hardMode;-;-;-;-;-28,24193;75;20;42;-
Best predator;98,9382;97,99969;19,7;0,5;-24,4;85,0;2,795042;-;0,1020861
Best herbivore;98,9381;97,99805;12,8;2,1;-24,4;85,0;-;2,187076;0,7758535
hardMode;-;-;-;-;-24,40006;85;27;48;-
Best predator;98,9381;97,99686;11,9;2,5;49,5;88,0;2,8;-;0,5472523
Best herbivore;98,9377;97,98392;14,8;2,0;49,5;87,9;-;1,423003;0,212604
hardMode;-;-;-;-;49,48273;88;26;35;-
Best predator;98,9382;97,99997;19,1;2,5;31,7;20,0;1,955767;-;0,8880898
Best herbivore;98,9382;97,99963;19,6;2,9;31,7;20,0;-;2,205017;0,155807
hardMode;-;-;-;-;31,66584;20;23;30;-
