Generation;AvgFitness;MaxFitness;MinFitness;StdDevFitness;AvgStamina;MaxStamina;MinStamina;StdDevStamina;AvgSpeed;MaxSpeed;MinSpeed;StdDevSpeed;AvgEatNeed;MaxEatNeed;MinEatNeed;StdDevEatNeed;AvgFatSave;MaxFatSave;MinFatSave;StdDevFatSave
0;11,4269;26,3064;3,7977;5,7748;2,7380;4,9022;0,6272;1,1974;11,9134;19,9055;3,0847;4,7147;4,0683;5,9253;2,2268;1,2118;0,4469;0,9917;0,0299;0,2881
1;99,0782;126,0125;83,6965;10,2149;3,0598;5,0000;0,5000;1,2285;12,2899;20,0000;0,3758;4,8150;3,9471;5,9253;2,0000;1,2693;0,3964;1,0000;0,0000;0,2655
2;100,5060;126,0125;83,2986;11,4698;3,1430;5,0000;1,0159;1,1183;12,0622;18,6733;1,5162;4,3216;3,9301;5,7949;2,0000;1,1474;0,3605;1,0000;0,0000;0,2788
3;101,7579;126,0125;82,8663;12,7468;3,1576;5,0000;0,5000;1,2184;11,9104;18,3515;1,0267;4,8875;3,6574;6,0000;2,0000;0,9978;0,4268;0,8812;0,0000;0,2760
4;104,3903;131,0462;84,0504;11,7624;3,4641;5,0000;1,1699;0,9268;11,7254;20,0000;0,3959;5,5144;4,0635;6,0000;2,0000;1,0526;0,5200;1,0000;0,0000;0,2777
5;105,6556;127,2471;83,8734;12,0021;3,4455;5,0000;1,4621;0,9903;11,6910;20,0000;0,2984;5,3800;3,8110;5,5603;1,9406;0,9333;0,4729;0,9576;0,0000;0,2574
6;106,6793;126,0125;86,9762;10,5201;3,5952;5,0000;0,5000;1,0183;11,9178;18,5241;1,2047;4,7710;3,6225;5,6849;2,0000;1,0290;0,4309;1,0000;-0,1535;0,2507
7;109,1748;141,9878;84,6285;12,6894;3,8908;5,0000;1,4603;1,1183;12,8151;19,5315;3,8527;3,8131;3,7615;5,8339;2,0000;1,0024;0,4543;1,0000;0,0000;0,2382
8;109,9517;154,7090;85,2371;16,8481;3,7286;5,0000;1,3872;0,9931;13,7059;20,0000;2,6062;4,2467;4,0080;6,0000;2,0000;1,2266;0,4487;1,0000;0,0000;0,2344
9;110,6657;154,7090;86,2725;17,6432;3,9957;5,0000;0,5000;1,0311;12,5757;20,0000;1,6907;5,0683;4,3780;6,0000;2,0000;1,2669;0,5145;1,0000;0,0000;0,2720
10;111,9161;154,7090;85,7515;18,3533;3,8393;5,0000;0,5000;0,9503;10,8110;20,0000;0,6024;5,3437;4,8179;6,0000;2,6176;1,1541;0,4531;1,0000;0,0000;0,2893
11;119,6315;154,7090;85,4383;18,3041;4,2016;5,0000;1,3906;0,7988;12,1692;20,0000;0,4804;5,7592;4,7885;6,0000;2,4678;1,1870;0,4441;1,0000;0,0000;0,2766
12;119,0282;154,7090;88,4245;18,5099;4,2184;5,0000;1,4791;0,7993;11,1640;20,0000;0,3304;6,0928;4,6216;6,1675;2,0000;1,1432;0,4671;1,0000;0,0994;0,2404
13;126,2575;154,7132;89,1578;19,9590;4,3236;5,0000;2,9594;0,7004;14,3200;20,0000;5,0000;5,5270;4,5105;6,0000;2,0000;1,2896;0,5275;1,0000;0,0000;0,2915
14;128,8747;154,7132;89,6359;18,4841;4,4174;5,0000;2,6367;0,7001;14,7249;20,1407;4,1015;5,4487;4,8148;6,0000;2,0000;1,1950;0,5750;1,0675;0,0000;0,3123
15;132,2057;154,7132;87,5401;19,8391;4,3284;5,0000;2,2821;0,8714;15,4022;20,0000;0,7779;5,5490;4,9890;6,0000;2,1517;1,0212;0,6205;1,0000;0,0000;0,3096
16;136,6969;154,7154;106,6061;17,9342;4,4066;5,0596;1,9687;0,8854;16,8592;20,0000;0,7920;4,6077;5,1691;6,0000;2,1208;0,7410;0,6046;1,0000;0,0000;0,2899
17;140,9293;154,7923;109,1563;15,1364;4,5436;5,0295;1,8973;0,8051;18,1212;20,0000;8,6579;2,5201;5,2176;6,0000;2,1981;0,8040;0,6650;1,0000;0,0000;0,3243
18;146,8287;154,8607;118,8077;11,0433;4,8338;5,0000;3,0190;0,4352;18,7436;20,0000;9,8063;2,4667;5,2695;6,0585;2,1981;0,7267;0,7778;1,0000;0,0000;0,2780
