Generation;AvgFitness;MaxFitness;MinFitness;StdDevFitness;AvgStamina;MaxStamina;MinStamina;StdDevStamina;AvgSpeed;MaxSpeed;MinSpeed;StdDevSpeed;AvgEatNeed;MaxEatNeed;MinEatNeed;StdDevEatNeed;AvgFatSave;MaxFatSave;MinFatSave;StdDevFatSave
0;11,2470;43,8941;-1,8828;8,5137;3,0698;4,9750;0,7500;1,2121;11,9236;19,9930;5,1590;4,8603;3,8490;5,9697;2,0048;1,2544;0,5684;0,9966;0,0334;0,2945
1;101,5076;132,1754;85,3082;12,0555;3,3084;5,0000;0,5621;1,2407;14,1635;20,0000;5,0000;4,2088;3,4909;6,0000;2,0000;1,1929;0,6297;1,0000;0,0133;0,3221
2;106,5816;132,1754;80,8802;14,3368;3,3441;5,0000;1,0943;1,1221;15,1276;20,0000;7,3418;4,4124;3,6784;6,1864;1,9544;1,2661;0,6584;1,0677;0,0514;0,2616
3;109,3836;132,1754;86,0158;12,8826;3,6136;5,0000;0,8451;1,1852;16,5373;20,0000;7,3015;3,8220;3,9567;6,0000;2,0000;1,1427;0,7057;1,0000;0,0000;0,2616
4;112,4717;147,5638;85,7053;16,3396;3,8653;5,0000;0,5000;1,1221;16,5654;20,0000;5,0000;3,8238;3,6837;6,0000;2,0000;1,2112;0,6536;1,0000;0,0000;0,3006
5;112,2379;147,5638;85,7053;16,4256;3,8130;5,0000;0,5870;1,3408;17,1531;20,0000;5,0000;3,5155;3,7350;6,0000;2,0000;1,2390;0,6105;1,0000;0,0000;0,3254
6;113,1890;147,5638;89,4778;15,8572;3,9245;5,0000;0,5000;1,2195;16,9098;20,0000;10,5756;3,2965;3,8181;6,0000;2,0000;1,1388;0,6609;1,0000;0,0000;0,3394
7;112,7803;147,5638;92,3334;15,0524;4,3361;5,0000;1,9794;0,7477;15,6907;20,0000;7,9849;3,7443;3,6985;6,0000;2,0000;1,0741;0,7054;1,0000;0,0000;0,3008
8;118,7800;147,5638;91,8398;14,1411;4,4945;5,0756;2,7419;0,5879;16,7445;20,0000;8,2159;3,5258;3,7308;6,0000;2,0000;1,0857;0,8049;1,0000;0,0000;0,2342
9;122,9118;147,5638;85,3558;15,5294;4,4464;5,0000;2,2266;0,7004;17,5304;20,0000;8,0339;2,9753;3,7460;5,7675;2,0000;1,1092;0,7899;1,0000;0,0000;0,2721
10;128,5394;147,7739;96,8543;12,1128;4,6580;5,0000;3,3589;0,4177;18,2797;20,0916;10,9095;1,9276;4,1895;6,0000;2,0000;0,9734;0,7842;1,0000;0,0290;0,2453
11;129,5582;147,7739;102,7460;12,3731;4,7104;5,0000;3,4585;0,3579;18,0853;20,0916;11,6478;2,2425;3,8853;6,0000;2,0000;1,0273;0,7583;1,0000;0,2428;0,1976
12;124,9317;147,7739;102,1183;12,6506;4,5858;5,0000;2,8311;0,4894;17,4771;20,0000;11,7816;2,5793;4,0445;6,0000;2,0000;0,8503;0,7209;1,0733;0,0000;0,2405
13;127,3021;147,7739;101,3852;12,4416;4,7284;5,0000;3,6959;0,2554;17,5205;20,1276;10,9648;2,8037;3,8534;5,4656;2,0000;0,7590;0,6863;1,0000;0,0250;0,2684
14;130,4689;147,7739;100,4616;13,1028;4,7729;5,0000;4,4596;0,1259;18,3820;20,1276;11,0515;2,2483;3,8563;5,1744;2,0000;0,7130;0,6090;1,0603;0,0000;0,3177
15;133,8005;151,1625;108,4973;10,8600;4,7788;5,0000;4,5374;0,1166;19,0974;20,0000;12,3900;1,4719;3,6746;5,6025;2,0000;0,8045;0,5016;1,0678;0,0000;0,2986
16;136,9408;151,1625;122,1691;9,9143;4,7501;5,0000;4,4880;0,1285;19,4603;20,1180;16,4186;0,7245;3,4732;4,6055;2,0000;0,6735;0,5116;1,0603;0,0000;0,2924
17;138,9044;151,1625;121,3304;9,7040;4,7377;5,0000;4,3821;0,1209;19,6649;20,1180;18,4392;0,4173;3,5471;5,1050;2,0000;0,7149;0,3735;1,0000;-0,1979;0,2842
18;141,8844;152,3780;122,0138;9,0727;4,7909;5,0000;4,4720;0,1216;19,6973;20,1180;18,5470;0,3960;3,5463;5,5886;2,0000;0,7858;0,3658;1,0277;-0,1979;0,2866
